sha256,object_path,extension,file_size,representative_filename,source_count,source_urls,olympiad_family,year,stage_or_round,document_type,language
bf627b7d20d9f39170c2407dbd7d48bcfdd2c61fe6cf44e5e3de24fdc225a0ce,data/archive/objects/bf627b7d20d9f39170c2407dbd7d48bcfdd2c61fe6cf44e5e3de24fdc225a0ce.html,html,15467,unknown-year--iao--theoretical--tasks--en--theory--tasks-page--archive.html,1,http://www.eaae-astro.org/eaae/olympiad/tproblems.html,iao,,theoretical,tasks,en
8519c10d935f6c0449551ba2e197ccd1a250cbe1d02e5af0d92c3313dc178f86,data/archive/objects/8519c10d935f6c0449551ba2e197ccd1a250cbe1d02e5af0d92c3313dc178f86.html,html,133,unknown-year--iao--unknown--tasks--en--tasks-page--archive.html,1,http://www.issp.ac.ru/univer/astro/vi98us_e.html,iao,,unknown,tasks,en
855e73b0cb9537864fc24084c668a7b48b030267da3c47a9744445547eeb4458,data/archive/objects/855e73b0cb9537864fc24084c668a7b48b030267da3c47a9744445547eeb4458.html,html,10449,1989--iao--unknown--tasks--en--tasks-page--archive.html,1,http://www.issp.ac.ru/univer/astro/vi96us_e.html,iao,1989,unknown,tasks,en
5aac78390d67ddb976a74bb1b8f12136c1b0209ce3ea2a5c603586746c6e4f23,data/archive/objects/5aac78390d67ddb976a74bb1b8f12136c1b0209ce3ea2a5c603586746c6e4f23.html,html,1866,1996--iao--observational--info--en--telescope--info-page--archive-v2.html,1,http://www.issp.ac.ru/univer/astro/sao/ratantab.html,iao,1996,observational,info,en
cad4666a7fcb4150a560289e9971fc8067742e2adf9ef578ca61a2d2cbdb62c1,data/archive/objects/cad4666a7fcb4150a560289e9971fc8067742e2adf9ef578ca61a2d2cbdb62c1.html,html,1991,1996--iao--observational--info--en--telescope--info-page--archive.html,1,http://www.issp.ac.ru/univer/astro/sao/btatab.html,iao,1996,observational,info,en
8a64ffda84e0537a7930bcd0f82ce5b8c194858f5279c174b52651a88fad2dfc,data/archive/objects/8a64ffda84e0537a7930bcd0f82ce5b8c194858f5279c174b52651a88fad2dfc.html,html,127,1996--iao--regional--info--en--info-page--archive.html,1,http://www.issp.ac.ru/univer/univer_e.html,iao,1996,regional,info,en
089a745302989818275793caa8153a58e947353220e1dc77aa37ba7cdd9fe873,data/archive/objects/089a745302989818275793caa8153a58e947353220e1dc77aa37ba7cdd9fe873.html,html,1203,1996--iao--team--info--en--team--info-page--archive.html,1,http://www.issp.ac.ru/univer/astro/img/vi96fs_e.html,iao,1996,team,info,en
daa19c7fdf82ce70e311b8b5feab3876a1d076c83f2760050ab834abec3d2efd,data/archive/objects/daa19c7fdf82ce70e311b8b5feab3876a1d076c83f2760050ab834abec3d2efd.html,html,7421,1996--iao--unknown--info--en--info-page--archive-v2.html,1,http://www.issp.ac.ru/univer/astro/ioas96_w.html,iao,1996,unknown,info,en
033abcb83226d2245cc722b5978cd1c62eeab22c6cdc17dd207de13cc9aa0c38,data/archive/objects/033abcb83226d2245cc722b5978cd1c62eeab22c6cdc17dd207de13cc9aa0c38.html,html,9276,1996--iao--unknown--info--en--info-page--archive-v3.html,1,http://www.issp.ac.ru/univer/astro/ioas_e.html,iao,1996,unknown,info,en
0f03971dbcfd61cb5e57c934cc363158adaccc8eb5a9894cefa608f87dc7f932,data/archive/objects/0f03971dbcfd61cb5e57c934cc363158adaccc8eb5a9894cefa608f87dc7f932.html,html,1771,1996--iao--unknown--info--en--info-page--archive-v4.html,1,http://www.issp.ac.ru/univer/astro/ioasfd_e.html,iao,1996,unknown,info,en
bcee59b9bce9a6b8f0ab5fdce9cd396f08da644ae0d74fe9893aa51b0ae1f2d2,data/archive/objects/bcee59b9bce9a6b8f0ab5fdce9cd396f08da644ae0d74fe9893aa51b0ae1f2d2.html,html,860,1996--iao--unknown--info--en--info-page--archive-v5.html,1,http://www.issp.ac.ru/univer/astro/ioasnx_e.html,iao,1996,unknown,info,en
21c138d157d2acfbeb8937d3b30e7b333e80c27f2a8cc606edd1a53a0e0cc2ff,data/archive/objects/21c138d157d2acfbeb8937d3b30e7b333e80c27f2a8cc606edd1a53a0e0cc2ff.html,html,125,1996--iao--unknown--info--en--info-page--archive-v6.html,1,http://www.issp.ac.ru/univer/astro/russ_e.html,iao,1996,unknown,info,en
5d93f7c40f74e94e0c2e4408b8d8e39f9e5338fd3a2edec3069c8e70a3477dbe,data/archive/objects/5d93f7c40f74e94e0c2e4408b8d8e39f9e5338fd3a2edec3069c8e70a3477dbe.html,html,10637,1996--iao--unknown--info--en--info-page--archive-v7.html,1,http://www.issp.ac.ru/univer/astro/vi96us_w.html,iao,1996,unknown,info,en
6195be5f6ff5943780241c3f53d7ece07efaf9d8fd6336c6113cfd6be4e69cb6,data/archive/objects/6195be5f6ff5943780241c3f53d7ece07efaf9d8fd6336c6113cfd6be4e69cb6.html,html,14631,1996--iao--unknown--info--en--info-page--archive.html,2,http://www.issp.ac.ru/univer/astro/ioas96_e.html|http://www.issp.ac.ru/univer/astro/ioas96_e.html#problems,iao,1996,unknown,info,en
