relation_group_id,olympiad_family,year,stage_or_round,document_type,num_variants,canonical_filename,relation_summary
rg_0001,czech_astronomy,2020,regional,solutions,4,2020--czech-astronomy--regional--solutions--cs--reseni-zobrazit-application-mb--official.pdf,"possible_duplicate:5, source_variant:1"
rg_0002,czech_astronomy,2021,final,solutions,6,2021--czech-astronomy--final--solutions--cs--reseni-zobrazit-application-mb--official.pdf,"possible_duplicate:11, source_variant:4"
rg_0003,czech_astronomy,2021,regional,solutions,4,2021--czech-astronomy--regional--solutions--cs--reseni-zobrazit-application-kb--official-v4.pdf,"possible_duplicate:3, source_variant:3"
rg_0004,czech_astronomy,2021,school,solutions,4,2021--czech-astronomy--school--solutions--cs--reseni-zobrazit-application-mb--official-v2.pdf,"possible_duplicate:5, source_variant:1"
rg_0005,czech_astronomy,2022,final,solutions,6,2022--czech-astronomy--final--solutions--cs--data-analysis--official-v2.pdf,"possible_duplicate:9, source_variant:6"
rg_0006,czech_astronomy,2022,regional,solutions,4,2022--czech-astronomy--regional--solutions--cs--reseni-zobrazit-application-mb--official-v2.pdf,"possible_duplicate:4, source_variant:2"
rg_0007,czech_astronomy,2023,final,solutions,6,2023--czech-astronomy--final--solutions--cs--data-analysis--official-v2.pdf,"possible_duplicate:12, source_variant:3"
rg_0008,czech_astronomy,2023,regional,solutions,4,2023--czech-astronomy--regional--solutions--cs--reseni-zobrazit-application-kb--official-v4.pdf,source_variant:6
rg_0009,czech_astronomy,2023,school,solutions,4,2023--czech-astronomy--school--solutions--cs--reseni-zobrazit-application-mb--official.pdf,"possible_duplicate:5, source_variant:1"
rg_0010,czech_astronomy,2024,final,solutions,6,2024--czech-astronomy--final--solutions--cs--theory--official.pdf,"possible_duplicate:14, source_variant:1"
rg_0011,czech_astronomy,2024,regional,solutions,4,2024--czech-astronomy--regional--solutions--cs--reseni-zobrazit-application-mb--official.pdf,"possible_duplicate:4, source_variant:2"
rg_0012,czech_astronomy,2024,school,solutions,4,2024--czech-astronomy--school--solutions--cs--reseni-zobrazit-application-mb--official.pdf,"possible_duplicate:4, source_variant:2"
rg_0013,czech_astronomy,2025,final,solutions,6,2025--czech-astronomy--final--solutions--cs--reseni-zobrazit-application-mb--official.pdf,"possible_duplicate:13, source_variant:1"
rg_0014,czech_astronomy,2025,regional,solutions,4,2025--czech-astronomy--regional--solutions--cs--reseni-zobrazit-application-mb--official.pdf,"possible_duplicate:2, source_variant:4"
rg_0015,czech_astronomy,2025,school,solutions,4,2025--czech-astronomy--school--solutions--cs--reseni-zobrazit-application-mb--official.pdf,"possible_duplicate:4, source_variant:2"
rg_0016,inao,2009,national,solutions,2,2009--inao--national--solutions--en--questions--official-v2.pdf,source_variant:1
rg_0017,inao,2009,national,tasks,2,2009--inao--national--tasks--en--questions--official-v2.pdf,source_variant:1
rg_0018,inao,2010,national,solutions,2,2010--inao--national--solutions--en--questions--official-v2.pdf,source_variant:1
rg_0019,inao,2010,national,tasks,2,2010--inao--national--tasks--en--questions--official-v2.pdf,source_variant:1
rg_0020,inao,2019,national,tasks,2,2019--inao--national--tasks--en--questions--official.pdf,translated_version:1
rg_0021,inao,2020,national,tasks,2,2020--inao--national--tasks--en--questions--official.pdf,translated_version:1
rg_0022,inao,2021,national,tasks,2,2021--inao--national--tasks--en--questions--official.pdf,translated_version:1
rg_0023,inao,2022,national,tasks,2,2022--inao--national--tasks--en--questions--official.pdf,translated_version:1
rg_0024,inao,2023,national,tasks,2,2023--inao--national--tasks--en--questions--official.pdf,translated_version:1
rg_0025,inao,2024,national,solutions,2,2024--inao--national--solutions--en--questions--official.pdf,possible_duplicate:1
rg_0026,inao,2024,national,tasks,2,2024--inao--national--tasks--hi--questions--official.pdf,translated_version:1
rg_0027,inao,2025,national,solutions,2,2025--inao--national--solutions--en--questions--official.pdf,possible_duplicate:1
rg_0028,inao,2025,national,tasks,2,2025--inao--national--tasks--en--questions--official.pdf,translated_version:1
rg_0029,inao,2026,national,tasks,2,2026--inao--national--tasks--hi--questions--official.pdf,translated_version:1
rg_0030,usaaao,2020,national,solutions,2,2020--usaaao--national--solutions--en--theory--official.pdf,source_variant:1
rg_0031,usaaao,2020,national,tasks,2,2020--usaaao--national--tasks--en--theory--exam--version-2--official.pdf,source_variant:1
rg_0032,usaaao,2026,selection,info,2,2026--usaaao--selection--info--en--theory--official.pdf,source_variant:1
rg_0033,usaaao,2026,selection,solutions,3,2026--usaaao--selection--solutions--en--practical--official-v2.pdf,possible_duplicate:3
rg_0034,usaaao,2026,selection,tasks,2,2026--usaaao--selection--tasks--en--theory--exam--official.pdf,source_variant:1
