olympiad_family,year,stage_or_round,document_types_found,num_document_types
baao,,unknown,info,1
bangladesh_bao,2024,national,tasks,1
brazil_oba,,national,tasks,1
brazil_oba,1998,national,"solutions,tasks",2
brazil_oba,1999,national,"solutions,tasks",2
brazil_oba,2000,national,"solutions,tasks",2
brazil_oba,2001,national,tasks,1
brazil_oba,2002,national,tasks,1
brazil_oba,2003,national,tasks,1
brazil_oba,2004,national,tasks,1
brazil_oba,2005,national,tasks,1
brazil_oba,2006,national,tasks,1
brazil_oba,2007,national,tasks,1
brazil_oba,2008,national,"solutions,tasks",2
brazil_oba,2009,national,"solutions,tasks",2
brazil_oba,2010,national,"solutions,tasks",2
brazil_oba,2011,national,"solutions,tasks",2
brazil_oba,2012,national,"solutions,tasks",2
brazil_oba,2013,national,"solutions,tasks",2
brazil_oba,2014,national,"solutions,tasks",2
brazil_oba,2015,national,"solutions,tasks",2
brazil_oba,2016,national,"solutions,tasks",2
brazil_oba,2017,national,"solutions,tasks",2
brazil_oba,2018,national,"solutions,tasks",2
brazil_oba,2019,national,"solutions,tasks",2
brazil_oba,2020,national,"solutions,tasks",2
brazil_oba,2021,national,"solutions,tasks",2
brazil_oba,2022,national,"solutions,tasks",2
brazil_oba,2023,national,"solutions,tasks",2
brazil_oba,2024,national,"solutions,tasks",2
bulgaria_astronomy,1998,unknown,tasks,1
bulgaria_astronomy,2025,municipal,tasks,1
bulgaria_astronomy,2026,municipal,solutions,1
bulgaria_astronomy,2026,national,"solutions,tasks",2
bulgaria_astronomy,2026,regional,"solutions,tasks",2
bulgaria_astronomy,2026,unknown,"solutions,tasks",2
caao,,unknown,info,1
caao,2017,national,tasks,1
caao,2018,national,tasks,1
caao,2019,national,tasks,1
caao,2020,national,tasks,1
caao,2021,national,tasks,1
caao,2022,national,tasks,1
caao,2023,national,tasks,1
croatia_astronomy,2008,state,tasks,1
croatia_astronomy,2011,county,solutions,1
croatia_astronomy,2011,school,solutions,1
croatia_astronomy,2011,unknown,tasks,1
croatia_astronomy,2012,county,"solutions,tasks",2
croatia_astronomy,2012,school,"solutions,tasks",2
croatia_astronomy,2013,county,"solutions,tasks",2
croatia_astronomy,2013,school,"solutions,tasks",2
croatia_astronomy,2015,school,"solutions,tasks",2
croatia_astronomy,2016,county,tasks,1
croatia_astronomy,2016,school,tasks,1
croatia_astronomy,2016,state,tasks,1
croatia_astronomy,2016,unknown,"solutions,tasks",2
croatia_astronomy,2017,county,tasks,1
croatia_astronomy,2017,school,tasks,1
croatia_astronomy,2017,state,tasks,1
croatia_astronomy,2017,unknown,tasks,1
croatia_astronomy,2018,unknown,solutions,1
croatia_astronomy,2019,county,solutions,1
croatia_astronomy,2019,school,solutions,1
croatia_astronomy,2019,state,solutions,1
croatia_astronomy,2019,unknown,solutions,1
croatia_astronomy,2020,school,solutions,1
croatia_astronomy,2021,county,solutions,1
croatia_astronomy,2021,school,"solutions,tasks",2
croatia_astronomy,2021,state,solutions,1
croatia_astronomy,2022,county,solutions,1
croatia_astronomy,2022,school,solutions,1
croatia_astronomy,2022,state,solutions,1
croatia_astronomy,2023,unknown,solutions,1
croatia_astronomy,2024,unknown,solutions,1
croatia_astronomy,2025,county,solutions,1
croatia_astronomy,2025,school,solutions,1
croatia_astronomy,2025,state,solutions,1
croatia_astronomy,2026,county,solutions,1
croatia_astronomy,2026,school,solutions,1
croatia_astronomy,2026,state,solutions,1
czech_astronomy,2004,unknown,info,1
czech_astronomy,2005,unknown,info,1
czech_astronomy,2006,unknown,info,1
czech_astronomy,2007,unknown,info,1
czech_astronomy,2008,unknown,info,1
czech_astronomy,2009,unknown,info,1
czech_astronomy,2010,unknown,info,1
czech_astronomy,2011,unknown,info,1
czech_astronomy,2012,unknown,info,1
czech_astronomy,2013,unknown,info,1
czech_astronomy,2014,unknown,info,1
czech_astronomy,2015,unknown,info,1
czech_astronomy,2016,unknown,info,1
czech_astronomy,2017,unknown,info,1
czech_astronomy,2018,unknown,info,1
czech_astronomy,2019,unknown,info,1
czech_astronomy,2020,regional,"info,solutions",2
czech_astronomy,2020,unknown,info,1
czech_astronomy,2021,final,solutions,1
czech_astronomy,2021,regional,solutions,1
czech_astronomy,2021,school,solutions,1
czech_astronomy,2021,unknown,info,1
czech_astronomy,2022,final,solutions,1
czech_astronomy,2022,regional,solutions,1
czech_astronomy,2022,school,solutions,1
czech_astronomy,2022,unknown,info,1
czech_astronomy,2023,final,solutions,1
czech_astronomy,2023,regional,solutions,1
czech_astronomy,2023,school,solutions,1
czech_astronomy,2023,unknown,info,1
czech_astronomy,2024,final,solutions,1
czech_astronomy,2024,regional,solutions,1
czech_astronomy,2024,school,solutions,1
czech_astronomy,2024,unknown,info,1
czech_astronomy,2025,final,solutions,1
czech_astronomy,2025,regional,solutions,1
czech_astronomy,2025,school,solutions,1
czech_astronomy,2025,unknown,info,1
gecaa,2020,data-analysis,"solutions,tasks",2
gecaa,2020,observational,"solutions,tasks",2
gecaa,2020,team,"solutions,tasks",2
gecaa,2020,theoretical,"instructions,solutions,tasks",3
iao,,qualifying,regulations,1
iao,,regional,regulations,1
iao,,theoretical,tasks,1
iao,,unknown,"info,regulations,tasks",3
iao,1996,observational,info,1
iao,1996,regional,info,1
iao,1996,team,info,1
iao,1996,unknown,"info,tasks",2
iao,1997,observational,info,1
iao,1997,qualifying,info,1
iao,1997,regional,info,1
iao,1997,team,info,1
iao,1997,unknown,"info,regulations,results,tasks",4
iao,1998,observational,tasks,1
iao,1998,theoretical,tasks,1
iao,1998,unknown,"info,tasks",2
iao,1999,observational,tasks,1
iao,1999,theoretical,tasks,1
iao,1999,unknown,"info,tasks",2
iao,2000,observational,tasks,1
iao,2000,theoretical,tasks,1
iao,2000,unknown,"info,tasks",2
iao,2001,unknown,info,1
iao,2002,unknown,info,1
iao,2003,observational,"solutions,tasks",2
iao,2003,team,info,1
iao,2003,theoretical,"solutions,tasks",2
iao,2003,unknown,info,1
iao,2004,theoretical,tasks,1
iao,2004,unknown,info,1
iao,2005,theoretical,tasks,1
iao,2005,unknown,info,1
iao,2006,final,info,1
iao,2006,qualifying,regulations,1
iao,2006,regional,regulations,1
iao,2006,team,"info,regulations,solutions,tasks",4
iao,2006,theoretical,"info,tasks",2
iao,2006,unknown,"info,regulations,tasks",3
iao,2007,observational,tasks,1
iao,2007,theoretical,"solutions,tasks",2
iao,2007,unknown,info,1
iao,2008,unknown,info,1
iao,2009,observational,"solutions,tasks",2
iao,2009,theoretical,"solutions,tasks",2
iao,2009,unknown,info,1
iao,2010,observational,tasks,1
iao,2010,team,info,1
iao,2010,theoretical,"solutions,tasks",2
iao,2010,unknown,info,1
iao,2011,observational,tasks,1
iao,2011,theoretical,"solutions,tasks",2
iao,2011,unknown,"info,tasks",2
